"","lon","lat","MunicipalityID","COD_DANE","Department Name","Municipality Name","Rural Population","Urban Population","Total Population"
"862","-73.2550225","6.456464634","11837",68755,"SANTANDER","SOCORRO","6079","22997","29076"
"863","-72.58113096","5.908995895","12464",15755,"BOYACA","SOCOTA","9170","1125","10295"
"864","-72.91190101","5.640116761","12592",15759,"BOYACA","SOGAMOSO","20266","96828","117094"
"865","-73.27597232","0.228419879","12229",18756,"CAQUETA","SOLANO","17569","1858","19427"
"866","-74.78784967","10.89984267","12401",8758,"ATLANTICO","SOLEDAD","855","460996","461851"
"867","-75.78795238","0.953978438","12393",18785,"CAQUETA","SOLITA","6087","3047","9134"
"868","-73.46036992","4.92464839","12191",15761,"BOYACA","SOMONDOCO","3598","761","4359"
"869","-75.08079281","5.74690904","11839",5756,"ANTIOQUIA","SONSON","23196","15583","38779"
"870","-75.7626273","6.515212754","12648",5761,"ANTIOQUIA","SOPETRAN","7431","5954","13385"
"871","-75.11926586","10.31074672","12532",13760,"BOLIVAR","SOPLAVIENTO","321","7960","8281"
"872","-73.9861621","4.871573225","12450",25758,"CUNDINAMARCA","SOPO","8389","12834","21223"
"873","-73.49703457","5.573997832","12232",15762,"BOYACA","SORA","2507","469","2976"
"874","-73.34743562","5.457654224","12323",15764,"BOYACA","SORACA","5215","730","5945"
"875","-73.28594006","5.761790891","12311",15763,"BOYACA","SOTAQUIRA","8245","721","8966"
"876","-76.64739622","2.245067649","11808",19760,"CAUCA","SOTARA","15305","391","15696"
"877","-73.37008445","6.082220992","12338",68770,"SANTANDER","SUAITA","9006","1969","10975"
"878","-74.91998753","10.29770324","11784",8770,"ATLANTICO","SUAN","486","9216","9702"
"879","-74.83622887","4.047827745","11685",73770,"TOLIMA","SUAREZ","2574","1945","4519"
"880","-75.82878147","1.888441538","11814",41770,"HUILA","SUAZA","11092","3264","14356"
"881","-74.17563219","4.950357035","11578",25769,"CUNDINAMARCA","SUBACHOQUE","8040","5001","13041"
"882","-74.75516668","8.812922754","12520",70771,"SUCRE","SUCRE","15579","6884","22463"
"883","-73.80360007","5.12612056","12064",25772,"CUNDINAMARCA","SUESCA","7841","6401","14242"
"884","-74.24784058","5.044558542","12077",25777,"CUNDINAMARCA","SUPATA","3561","1391","4952"
"885","-75.67280898","5.434970197","11821",17777,"CALDAS","SUPIA","12912","11935","24847"
"886","-73.0590229","7.516957518","12097",68780,"SANTANDER","SURATA","2990","672","3662"
"887","-73.84786377","5.427000058","11700",25779,"CUNDINAMARCA","SUSA","5193","4589","9782"
"888","-72.75672432","6.186068376","11596",15774,"BOYACA","SUSACON","2755","943","3698"
"889","-73.6524926","5.615493479","12187",15776,"BOYACA","SUTAMARCHAN","4866","1254","6120"
"890","-73.87912911","5.228980572","12270",25781,"CUNDINAMARCA","SUTATAUSA","3383","1359","4742"
"891","-73.45454379","4.99644019","12038",15778,"BOYACA","SUTATENZA","3823","743","4566"
"892","-74.10208849","4.935124391","12108",25785,"CUNDINAMARCA","TABIO","11569","9281","20850"
"893","-76.45608175","5.274994877","11803",27787,"CHOCO","TADO","6795","11246","18041"
"894","-74.65587178","9.32011432","12541",13780,"BOLIVAR","TALAIGUA NUEVO","6219","4867","11086"
"895","-73.78105953","8.864240897","12093",20787,"CESAR","TAMALAMEQUE","8869","5177","14046"
"896","-72.24096022","5.857198771","11782",85400,"CASANARE","TAMARA","5096","2022","7118"
"897","-71.76805443","6.356920495","12647",81794,"ARAUCA","TAME","28442","19134","47576"
